model,condition,keyword_hit_rate,rougeL_f1,bertscore_f1
llama,C1,0.411,0.277,0.891
llama,C2,0.367,0.342,0.9
llama,C3,0.263,0.229,0.882
llama,C4,0.358,0.306,0.898
llama,C5,0.277,0.272,0.89
llama,C6,0.359,0.296,0.896
llama,C7,0.363,0.318,0.898
llama,C8,0.374,0.319,0.897
llama,C9,0.278,0.279,0.892
mixtral,C1,0.375,0.241,0.882
mixtral,C2,0.413,0.168,0.864
mixtral,C3,0.187,0.112,0.858
mixtral,C4,0.282,0.12,0.852
mixtral,C5,0.233,0.124,0.847
mixtral,C6,0.386,0.241,0.88
mixtral,C7,0.39,0.167,0.857
mixtral,C8,0.263,0.106,0.848
mixtral,C9,0.252,0.126,0.847
qwen,C1,0.45,0.207,0.875
qwen,C2,0.462,0.228,0.879
qwen,C3,0.251,0.112,0.859
qwen,C4,0.41,0.201,0.876
qwen,C5,0.296,0.135,0.863
qwen,C6,0.449,0.22,0.878
qwen,C7,0.421,0.223,0.878
qwen,C8,0.383,0.204,0.875
qwen,C9,0.313,0.136,0.864
sarvam,C1,0.228,0.139,0.412
sarvam,C2,0.217,0.158,0.455
sarvam,C3,0.014,0.015,0.07
sarvam,C4,0.133,0.084,0.3
sarvam,C5,0.054,0.041,0.183
sarvam,C6,0.177,0.102,0.322
sarvam,C7,0.175,0.121,0.366
sarvam,C8,0.128,0.083,0.275
sarvam,C9,0.04,0.029,0.121
