model,condition,keyword_hit_rate,rougeL_f1,bertscore_f1
llama,C1,0.309,0.27,0.899
llama,C2,0.293,0.282,0.899
llama,C3,0.173,0.207,0.888
llama,C4,0.158,0.164,0.883
llama,C5,0.054,0.089,0.874
llama,C6,0.3,0.287,0.9
llama,C7,0.275,0.266,0.897
llama,C8,0.165,0.174,0.885
llama,C9,0.052,0.089,0.874
mixtral,C1,0.329,0.244,0.887
mixtral,C2,0.348,0.27,0.893
mixtral,C3,0.204,0.157,0.87
mixtral,C4,0.233,0.198,0.879
mixtral,C5,0.218,0.205,0.881
mixtral,C6,0.323,0.245,0.887
mixtral,C7,0.371,0.272,0.894
mixtral,C8,0.241,0.19,0.881
mixtral,C9,0.207,0.198,0.882
qwen,C1,0.255,0.242,0.896
qwen,C2,0.258,0.263,0.897
qwen,C3,0.052,0.077,0.874
qwen,C4,0.139,0.142,0.882
qwen,C5,0.017,0.056,0.871
qwen,C6,0.265,0.256,0.896
qwen,C7,0.243,0.248,0.895
qwen,C8,0.151,0.15,0.883
qwen,C9,0.017,0.056,0.871
sarvam,C1,0.056,0.079,0.82
sarvam,C2,0.06,0.065,0.809
sarvam,C3,0.0,0.01,0.804
sarvam,C4,0.015,0.03,0.812
sarvam,C5,0.005,0.019,0.811
sarvam,C6,0.049,0.068,0.811
sarvam,C7,0.036,0.047,0.807
sarvam,C8,0.005,0.024,0.82
sarvam,C9,0.002,0.018,0.813
