model,keyword_hit_rate,rougeL_f1,bertscore_f1,Context_Type
llama,-0.01,0.017,0.001,English
mixtral,-0.006,0.0,0.001,English
qwen,0.01,0.014,0.0,English
sarvam,-0.007,-0.011,-0.009,English
llama,-0.018,-0.016,-0.002,Sarvam MT
mixtral,0.023,0.002,0.001,Sarvam MT
qwen,-0.014,-0.015,-0.002,Sarvam MT
sarvam,-0.024,-0.017,-0.002,Sarvam MT
llama,0.008,0.01,0.001,Official
mixtral,0.008,-0.009,0.002,Official
qwen,0.013,0.008,0.001,Official
sarvam,-0.011,-0.005,0.008,Official
llama,-0.002,0.0,-0.0,IndicTrans2
mixtral,-0.011,-0.007,0.001,IndicTrans2
qwen,0.0,0.0,-0.0,IndicTrans2
sarvam,-0.003,-0.001,0.002,IndicTrans2
