ministry,condition,keyword_hit_rate,rougeL_f1,bertscore_f1,hallucination_score
ayush,C1,0.002,0.002,0.615,
ayush,C2,0.01,0.002,0.609,
ayush,C3,0.006,0.002,0.605,
ayush,C4,0.002,0.002,0.621,
ayush,C5,0.005,0.002,0.603,
ayush,C6,0.097,0.037,0.845,
education,C1,0.0,0.002,0.668,
education,C2,0.0,0.002,0.661,
education,C3,0.003,0.002,0.643,
education,C4,0.0,0.002,0.607,
education,C5,0.0,0.002,0.617,
education,C6,0.085,0.05,0.871,
labour,C1,0.0,0.02,0.675,
labour,C2,0.0,0.02,0.674,
labour,C3,0.0,0.02,0.65,
labour,C4,0.0,0.02,0.667,
labour,C5,0.0,0.02,0.621,
labour,C6,0.087,0.05,0.877,
women,C1,0.005,0.005,0.665,
women,C2,0.006,0.005,0.647,
women,C3,0.008,0.005,0.642,
women,C4,0.006,0.005,0.628,
women,C5,0.009,0.005,0.617,
women,C6,0.073,0.037,0.873,
