model,condition,bertscore_f1,rougeL_f1,keyword_hit_rate
llama,C1,0.902,0.329,0.416
llama,C2,0.903,0.356,0.395
llama,C3,0.889,0.253,0.245
llama,C4,0.898,0.313,0.348
llama,C5,0.889,0.26,0.245
llama,C6,0.903,0.335,0.383
llama,C7,0.901,0.338,0.373
llama,C8,0.901,0.323,0.346
llama,C9,0.888,0.257,0.229
mixtral,C1,0.883,0.256,0.391
mixtral,C2,0.882,0.249,0.402
mixtral,C3,0.861,0.133,0.197
mixtral,C4,0.865,0.167,0.29
mixtral,C5,0.857,0.132,0.215
mixtral,C6,0.884,0.255,0.403
mixtral,C7,0.879,0.233,0.365
mixtral,C8,0.866,0.164,0.286
mixtral,C9,0.858,0.133,0.24
qwen,C1,0.89,0.274,0.43
qwen,C2,0.891,0.297,0.44
qwen,C3,0.865,0.139,0.233
qwen,C4,0.887,0.256,0.383
qwen,C5,0.866,0.154,0.258
qwen,C6,0.893,0.292,0.433
qwen,C7,0.888,0.273,0.403
qwen,C8,0.887,0.258,0.363
qwen,C9,0.865,0.148,0.267
sarvam,C1,0.889,0.297,0.438
sarvam,C2,0.896,0.32,0.444
sarvam,C3,0.86,0.135,0.264
sarvam,C4,0.883,0.249,0.314
sarvam,C5,0.863,0.16,0.31
sarvam,C6,0.894,0.3,0.461
sarvam,C7,0.887,0.273,0.386
sarvam,C8,0.886,0.267,0.358
sarvam,C9,0.859,0.14,0.245
