,model,condition,valid_rate
0,llama,C1,0.76
1,llama,C2,0.825
2,llama,C3,0.825
3,llama,C4,0.86
4,llama,C5,0.605
5,llama,C6,0.81
6,llama,C7,0.815
7,llama,C8,0.895
8,llama,C9,0.605
9,mixtral,C1,0.77
10,mixtral,C2,0.78
11,mixtral,C3,0.65
12,mixtral,C4,0.725
13,mixtral,C5,0.51
14,mixtral,C6,0.815
15,mixtral,C7,0.74
16,mixtral,C8,0.74
17,mixtral,C9,0.545
18,qwen,C1,0.76
19,qwen,C2,0.73
20,qwen,C3,0.53
21,qwen,C4,0.785
22,qwen,C5,0.47
23,qwen,C6,0.77
24,qwen,C7,0.75
25,qwen,C8,0.815
26,qwen,C9,0.48
27,sarvam,C1,0.675
28,sarvam,C2,0.615
29,sarvam,C3,0.62
30,sarvam,C4,0.58
31,sarvam,C5,0.255
32,sarvam,C6,0.655
33,sarvam,C7,0.61
34,sarvam,C8,0.535
35,sarvam,C9,0.275
