ministry,condition,keyword_hit_rate,rougeL_f1,bertscore_f1,hallucination_score
ayush,C1,0.113498,0.061418,0.0,
ayush,C2,0.118736,0.061795,0.0,
ayush,C3,0.05238,0.046340000000000006,0.0,
ayush,C4,0.077237,0.05923,0.0,
education,C1,0.074643,0.059562,0.0,
education,C2,0.070476,0.056643,0.0,
education,C3,0.052976,0.038107,0.0,
labour,C1,0.12075,0.081415,0.0,
labour,C2,0.101749,0.082514,0.0,
labour,C3,0.074083,0.043776,0.0,
labour,C4,0.09183300000000001,0.0703,0.0,
women,C1,0.098833,0.061567,0.0,
women,C2,0.105084,0.06479599999999999,0.0,
women,C3,0.099167,0.042609,0.0,
women,C4,0.11750000000000001,0.051695000000000005,0.0,
